Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/3/29, 17:00:00, 17624, 17923, 17585, 17857, 135999, 94082, 68292, 67707
2015/3/30, 17:00:00, 17859, 17880, 17666, 17691, 140192, 99087, 70355, 69837
2015/3/31, 17:00:00, 17684, 17728, 17475, 17628, 217360, 146277, 107735, 109625
2015/4/1, 17:00:00, 17633, 17731, 17552, 17686, 108534, 74932, 54441, 54093
2015/4/2, 17:00:00, 17681, 17702, 17495, 17511, 15395, 9416, 7854, 7541
2015/4/5, 17:00:00, 17511, 17858, 17507, 17798, 102612, 68332, 51973, 50639
2015/4/6, 17:00:00, 17793, 17901, 17774, 17787, 110045, 75590, 54843, 55202
2015/4/7, 17:00:00, 17788, 17898, 17737, 17837, 135786, 94463, 67607, 68179
2015/4/8, 17:00:00, 17843, 17904, 17738, 17877, 130458, 92678, 64241, 66217
2015/4/9, 17:00:00, 17883, 17988, 17860, 17976, 90202, 66504, 44964, 45238
2015/4/12, 17:00:00, 17969, 18029, 17891, 17914, 106677, 72960, 54045, 52632
2015/4/13, 17:00:00, 17918, 17997, 17822, 17964, 144933, 101287, 74751, 70182
2015/4/14, 17:00:00, 17973, 18083, 17935, 18030, 111302, 79212, 55764, 55538
2015/4/15, 17:00:00, 18041, 18093, 17948, 18037, 127305, 87160, 65266, 62039
2015/4/16, 17:00:00, 18039, 18044, 17666, 17770, 210816, 145857, 107869, 102947
2015/4/19, 17:00:00, 17803, 18016, 17790, 17937, 131851, 90211, 66966, 64885
2015/4/20, 17:00:00, 17924, 18072, 17848, 17888, 130139, 92158, 63447, 66692
2015/4/21, 17:00:00, 17893, 17976, 17774, 17945, 146164, 102401, 73354, 72810
2015/4/22, 17:00:00, 17938, 18062, 17824, 17975, 169700, 113773, 85091, 84609
2015/4/23, 17:00:00, 17979, 18037, 17932, 18020, 97586, 71931, 48501, 49085
2015/4/26, 17:00:00, 18029, 18111, 17948, 17980, 125895, 88084, 63401, 62494
2015/4/27, 17:00:00, 17993, 18064, 17839, 18053, 163599, 113237, 83885, 79714
2015/4/28, 17:00:00, 18049, 18067, 17875, 17951, 201975, 143384, 102365, 99610
2015/4/29, 17:00:00, 17953, 17979, 17691, 17785, 205315, 145986, 104054, 101261
2015/4/30, 17:00:00, 17780, 17953, 17773, 17936, 110706, 72837, 55837, 54869
2015/5/3, 17:00:00, 17938, 18057, 17909, 17997, 97788, 68986, 49010, 48778
2015/5/4, 17:00:00, 18000, 18023, 17825, 17874, 162330, 114074, 82150, 80180
2015/5/5, 17:00:00, 17875, 17974, 17668, 17785, 209433, 142220, 105885, 103548
2015/5/6, 17:00:00, 17780, 17919, 17629, 17884, 176459, 120916, 89412, 87047
2015/5/7, 17:00:00, 17895, 18155, 17883, 18123, 155705, 104817, 77899, 77806
2015/5/10, 17:00:00, 18129, 18152, 18025, 18033, 111853, 76536, 56950, 54903
2015/5/11, 17:00:00, 18038, 18071, 17871, 18035, 178893, 124852, 89427, 89466
2015/5/12, 17:00:00, 18042, 18119, 17996, 18031, 131981, 92993, 66283, 65698
2015/5/13, 17:00:00, 18031, 18213, 17987, 18202, 121135, 81825, 60538, 60597
2015/5/14, 17:00:00, 18202, 18250, 18177, 18239, 87985, 63094, 43753, 44232
2015/5/17, 17:00:00, 18236, 18291, 18186, 18267, 89860, 63035, 44989, 44871
2015/5/18, 17:00:00, 18269, 18334, 18227, 18281, 96726, 68388, 48283, 48443
2015/5/19, 17:00:00, 18282, 18324, 18243, 18253, 110783, 76306, 55949, 54834
2015/5/20, 17:00:00, 18245, 18293, 18197, 18267, 75079, 53196, 37835, 37244
2015/5/21, 17:00:00, 18262, 18295, 18191, 18229, 80115, 54940, 40349, 39766
2015/5/24, 17:00:00, 18230, 18254, 18181, 18223, 12002, 7960, 6246, 5756
2015/5/25, 17:00:00, 18223, 18231, 17964, 18050, 165265, 110714, 81384, 83881
